title,text,label,source,date,category
India signs trade agreement with European Union,Indian Railways announced plans to acquire 100 new high-speed trains over the next five years. These trains will operate on dedicated tracks connecting major metropolitan areas. The project is estimated to cost ₹1 lakh crore and will reduce travel time between cities by 40%. Railway Minister praised the initiative during a press conference.,REAL,BBC,10/26/2025 03:44:25,Entertainment
Government launches nationwide digital literacy program,Indian Railways announced plans to acquire 100 new high-speed trains over the next five years. These trains will operate on dedicated tracks connecting major metropolitan areas. The project is estimated to cost ₹1 lakh crore and will reduce travel time between cities by 40%. Railway Minister praised the initiative during a press conference.,REAL,ANI,12/11/2025 03:44:25,Science
Government secretly distributes microchips through vaccines,"Shocking discovery: Government health officials have been secretly embedding microchips in vaccines to track citizens' movements. According to leaked confidential documents obtained by our sources, this surveillance program has been ongoing since 2015. Thousands of people report experiencing strange symptoms after vaccination. The government refuses to comment on these allegations.",FAKE,FakeNews.in,03/03/2025 03:44:25,FalseAlarm
Ancient aliens built secret underground city in Himalayas,Stunning exposé reveals high-level corruption involving multiple government ministers and corporate leaders. Anonymous whistleblowers provide evidence of illegal transactions totaling billions of rupees. The investigation is allegedly being covered up by mainstream media on government orders. Public demands immediate police action.,FAKE,ViralPost,12/09/2025 03:44:25,FalseAlarm
Political leaders involved in massive corruption scandal,"Shocking discovery: Government health officials have been secretly embedding microchips in vaccines to track citizens' movements. According to leaked confidential documents obtained by our sources, this surveillance program has been ongoing since 2015. Thousands of people report experiencing strange symptoms after vaccination. The government refuses to comment on these allegations.",FAKE,FakeNews.in,01/23/2025 03:44:25,Conspiracy
Tech startups in India secure $20 billion in funding this year,The Supreme Court of India has ordered the establishment of a ₹500 crore relief fund for victims of recent floods in Kerala. The court directed state authorities to expedite the distribution of compensation to affected families. Chief Minister expressed gratitude for the court's intervention and committed to transparent fund management.,REAL,BBC,06/11/2025 03:44:25,Technology
National infrastructure development accelerates in rural areas,"Researchers at IIT Delhi have successfully developed a completely biodegradable plastic material that decomposes within 6 months. The innovation uses agricultural waste and plant-based polymers. The research team, led by Dr. Raj Kumar, has filed for patent protection. This breakthrough could significantly reduce plastic pollution in India and globally.",REAL,PTI,11/03/2025 03:44:25,Entertainment
Delhi becomes one of cleanest cities in South Asia with new policies,"The Reserve Bank of India announced a 50 basis point reduction in the repo rate today, bringing it down to 5.5%. The decision aims to boost economic growth amid slowing consumption. The RBI also projected GDP growth at 6.5% for the current fiscal year. Banking sector experts have welcomed the monetary policy decision.",REAL,BBC,01/05/2025 03:44:25,Business
Government announces new solar power initiative across 15 states,Indian Railways announced plans to acquire 100 new high-speed trains over the next five years. These trains will operate on dedicated tracks connecting major metropolitan areas. The project is estimated to cost ₹1 lakh crore and will reduce travel time between cities by 40%. Railway Minister praised the initiative during a press conference.,REAL,PTI,12/11/2025 03:44:25,Science
RBI cuts repo rate by 50 basis points to support economic growth,The Supreme Court of India has ordered the establishment of a ₹500 crore relief fund for victims of recent floods in Kerala. The court directed state authorities to expedite the distribution of compensation to affected families. Chief Minister expressed gratitude for the court's intervention and committed to transparent fund management.,REAL,PTI,04/09/2025 03:44:25,Business
Eating turmeric cures all diseases including cancer instantly,"Health alert: 5G mobile tower radiation is causing mysterious illnesses in children living nearby. Parents report symptoms including fever, headaches, and skin rashes. Medical experts are allegedly suppressing research into the dangers. Environmental activists demand government shutdown of 5G networks immediately.",FAKE,FakeNews.in,10/19/2025 03:44:25,FalseAlarm
Ancient cure discovered but corporations want to hide it,"Shocking discovery: Government health officials have been secretly embedding microchips in vaccines to track citizens' movements. According to leaked confidential documents obtained by our sources, this surveillance program has been ongoing since 2015. Thousands of people report experiencing strange symptoms after vaccination. The government refuses to comment on these allegations.",FAKE,FakeNews.in,06/10/2025 03:44:25,SensationalClaim
Indian universities rank in top 100 globally for research,"Researchers at IIT Delhi have successfully developed a completely biodegradable plastic material that decomposes within 6 months. The innovation uses agricultural waste and plant-based polymers. The research team, led by Dr. Raj Kumar, has filed for patent protection. This breakthrough could significantly reduce plastic pollution in India and globally.",REAL,IBNLive,11/14/2025 03:44:25,Health
Political scandal involving massive bribery exposed,EXCLUSIVE: NASA scientists have discovered evidence of an ancient alien civilization that built underground cities beneath the Himalayas. The structures contain advanced technology unknown to modern science. The government is allegedly hiding this information to prevent mass panic. Conspiracy theorists believe this proves the existence of extraterrestrial life.,FAKE,ViralPost,01/14/2025 03:44:25,Conspiracy
New metro rail projects approved in 8 major Indian cities,The Supreme Court of India has ordered the establishment of a ₹500 crore relief fund for victims of recent floods in Kerala. The court directed state authorities to expedite the distribution of compensation to affected families. Chief Minister expressed gratitude for the court's intervention and committed to transparent fund management.,REAL,BBC,09/09/2025 03:44:25,Health
Eating specific foods increases IQ by 200 percent,EXCLUSIVE: NASA scientists have discovered evidence of an ancient alien civilization that built underground cities beneath the Himalayas. The structures contain advanced technology unknown to modern science. The government is allegedly hiding this information to prevent mass panic. Conspiracy theorists believe this proves the existence of extraterrestrial life.,FAKE,UnknownBlog,10/29/2025 03:44:25,Conspiracy
Government hiding cure for major disease from public,Stunning exposé reveals high-level corruption involving multiple government ministers and corporate leaders. Anonymous whistleblowers provide evidence of illegal transactions totaling billions of rupees. The investigation is allegedly being covered up by mainstream media on government orders. Public demands immediate police action.,FAKE,ViralPost,04/22/2025 03:44:25,Conspiracy
5G towers causing mysterious illnesses in children,Stunning exposé reveals high-level corruption involving multiple government ministers and corporate leaders. Anonymous whistleblowers provide evidence of illegal transactions totaling billions of rupees. The investigation is allegedly being covered up by mainstream media on government orders. Public demands immediate police action.,FAKE,ViralPost,05/01/2025 03:44:25,SensationalClaim
Foreign powers plotting to destabilize Indian economy,Secret meeting exposed: Foreign intelligence agencies met with opposition leaders to plan destabilization of India's economy. Classified documents allegedly detail plans to create artificial inflation and trigger market collapse. Analysts warn of potential economic crisis engineered by hostile nations. Government should take immediate protective measures.,FAKE,UnknownBlog,12/23/2024 03:44:25,Misinformation
Religious leaders involved in underground operations,Stunning exposé reveals high-level corruption involving multiple government ministers and corporate leaders. Anonymous whistleblowers provide evidence of illegal transactions totaling billions of rupees. The investigation is allegedly being covered up by mainstream media on government orders. Public demands immediate police action.,FAKE,ViralPost,09/02/2025 03:44:25,FalseAlarm
National Health Insurance scheme reaches 50 million beneficiaries,The Supreme Court of India has ordered the establishment of a ₹500 crore relief fund for victims of recent floods in Kerala. The court directed state authorities to expedite the distribution of compensation to affected families. Chief Minister expressed gratitude for the court's intervention and committed to transparent fund management.,REAL,IBNLive,10/30/2025 03:44:25,Entertainment
Indian Railways launches 100 new high-speed trains by 2030,"In a significant development, the central government today announced a comprehensive solar energy initiative targeting 15 states. The scheme aims to generate 100 GW of solar power by 2025, creating over 50,000 jobs in the renewable energy sector. According to official sources, the initiative will receive ₹50,000 crore in funding over the next five years. State governments have welcomed the announcement and pledged cooperation in implementation.",REAL,PTI,12/12/2025 03:44:25,Sports
IIT Delhi researchers develop biodegradable plastic alternative,Indian Railways announced plans to acquire 100 new high-speed trains over the next five years. These trains will operate on dedicated tracks connecting major metropolitan areas. The project is estimated to cost ₹1 lakh crore and will reduce travel time between cities by 40%. Railway Minister praised the initiative during a press conference.,REAL,NDTV,08/28/2025 03:44:25,Science
New law secretly grants government mind-reading powers,EXCLUSIVE: NASA scientists have discovered evidence of an ancient alien civilization that built underground cities beneath the Himalayas. The structures contain advanced technology unknown to modern science. The government is allegedly hiding this information to prevent mass panic. Conspiracy theorists believe this proves the existence of extraterrestrial life.,FAKE,ViralPost,04/06/2025 03:44:25,Misinformation
ISRO successfully completes Chandrayaan-3 lunar mission,"Researchers at IIT Delhi have successfully developed a completely biodegradable plastic material that decomposes within 6 months. The innovation uses agricultural waste and plant-based polymers. The research team, led by Dr. Raj Kumar, has filed for patent protection. This breakthrough could significantly reduce plastic pollution in India and globally.",REAL,IBNLive,10/23/2025 03:44:25,Health
Billionaires controlling world governments through secret societies,"Shocking discovery: Government health officials have been secretly embedding microchips in vaccines to track citizens' movements. According to leaked confidential documents obtained by our sources, this surveillance program has been ongoing since 2015. Thousands of people report experiencing strange symptoms after vaccination. The government refuses to comment on these allegations.",FAKE,ViralPost,07/16/2025 03:44:25,Conspiracy
Tech companies steals personal data to control citizens,EXCLUSIVE: NASA scientists have discovered evidence of an ancient alien civilization that built underground cities beneath the Himalayas. The structures contain advanced technology unknown to modern science. The government is allegedly hiding this information to prevent mass panic. Conspiracy theorists believe this proves the existence of extraterrestrial life.,FAKE,UnknownBlog,04/01/2025 03:44:25,SensationalClaim
Supreme Court orders relief fund for flood victims in Kerala,"Researchers at IIT Delhi have successfully developed a completely biodegradable plastic material that decomposes within 6 months. The innovation uses agricultural waste and plant-based polymers. The research team, led by Dr. Raj Kumar, has filed for patent protection. This breakthrough could significantly reduce plastic pollution in India and globally.",REAL,TheHindu,05/25/2025 03:44:25,Technology
Celebrities revealed to be aliens in leaked government documents,Secret meeting exposed: Foreign intelligence agencies met with opposition leaders to plan destabilization of India's economy. Classified documents allegedly detail plans to create artificial inflation and trigger market collapse. Analysts warn of potential economic crisis engineered by hostile nations. Government should take immediate protective measures.,FAKE,FakeNews.in,05/06/2025 03:44:25,FalseAlarm
India's software exports reach record $191 billion in FY2024,"The Reserve Bank of India announced a 50 basis point reduction in the repo rate today, bringing it down to 5.5%. The decision aims to boost economic growth amid slowing consumption. The RBI also projected GDP growth at 6.5% for the current fiscal year. Banking sector experts have welcomed the monetary policy decision.",REAL,ANI,02/13/2025 03:44:25,Sports
