title,text,label,language
5जी टॉवर बीमारियां फैला रहे हैं,हमारे सूत्रों के अनुसार सरकार टीकों में माइक्रोचिप्स छुपा रही है। यह माइक्रोचिप्स लोगों की निगरानी के लिए है। हजारों लोगों को इसके दुष्प्रभाव दिख रहे हैं।,0,hi
નવી તકનીક જાદુ કરે છે,ગુજરાતમાં લોકોમાં ગુપ્ત રોગ ફેલાવાય છે. સરકાર આને છુપાવી રહી છે.,0,gu
લોકોમાં ગુપ્ત રોગ ફેલાવાય છે,મહાનેતાઓ વિશ્વના નેતાઓ સાથે ગુપ્ત બેઠક કરી રહ્યા છે.,0,gu
આઇઆઈટી દિલ્હીના સંશોધકોને પુરસ્કાર મળ્યો,આઇઆઈટી દિલ્હીના વૈજ્ઞાનિકોને તેમના સંશોધન માટે આંતરરાષ્ટ્રીય પુરસ્કાર પ્રાપ્ત થયો.,1,gu
सरकार टीकों में माइक्रोचिप्स डाल रही है,नेताओं के विरुद्ध भ्रष्टाचार के गंभीर आरोप लगे हैं। अरबों रुपये की अवैध लेनदेन की जानकारी मिली है। मीडिया इसे दबा रहा है।,0,hi
भारतीय रेलवे नई ट्रेन लॉन्च करेगी,आईआईटी दिल्ली के शोधकर्ताओं ने एक महत्वपूर्ण वैज्ञानिक खोज की है। यह नई तकनीक पर्यावरण के लिए फायदेमंद है। शोध दल को अंतर्राष्ट्रीय मान्यता मिली है।,1,hi
મહાનેતાઓ ગુપ્ત બેઠક કરી રહ્યા છે,મહાનેતાઓ વિશ્વના નેતાઓ સાથે ગુપ્ત બેઠક કરી રહ્યા છે.,0,gu
आईआईटी दिल्ली के शोधकर्ताओं ने नया अविष्कार किया,"सरकार ने आज एक महत्वपूर्ण सौर ऊर्जा पहल की घोषणा की। इस योजना का लक्ष्य 15 राज्यों में सौर शक्ति उत्पन्न करना है। अधिकारियों के अनुसार, इस परियोजना को ₹50,000 करोड़ का बजट मिलेगा।",1,hi
आरबीआई ने ब्याज दर में कटौती की,आरबीआई ने अर्थव्यवस्था को मजबूत करने के लिए ब्याज दर में कमी की है। यह निर्णय आर्थिक विकास को बढ़ावा देगा। बैंकिंग क्षेत्र इस फैसले की सराहना कर रहा है।,1,hi
अलौकिक जीव की खोज की गई,नेताओं के विरुद्ध भ्रष्टाचार के गंभीर आरोप लगे हैं। अरबों रुपये की अवैध लेनदेन की जानकारी मिली है। मीडिया इसे दबा रहा है।,0,hi
सरकार ने सौर ऊर्जा योजना की घोषणा की,आरबीआई ने अर्थव्यवस्था को मजबूत करने के लिए ब्याज दर में कमी की है। यह निर्णय आर्थिक विकास को बढ़ावा देगा। बैंकिंग क्षेत्र इस फैसले की सराहना कर रहा है।,1,hi
नेताओं पर भ्रष्टाचार के आरोप,नासा ने हिमालय में अलौकिक जीवों की पुष्टि की है। इन प्राणियों के पास अत्याधुनिक तकनीक है। सरकार इस बात को छुपा रही है।,0,hi
સરકારે નવી શક્તિ યોજના જાહેર કરી,આઇઆઈટી દિલ્હીના વૈજ્ઞાનિકોને તેમના સંશોધન માટે આંતરરાષ્ટ્રીય પુરસ્કાર પ્રાપ્ત થયો.,1,gu
विदेशी देश भारत को कमजोर करने की साजिश कर रहे हैं,नेताओं के विरुद्ध भ्रष्टाचार के गंभीर आरोप लगे हैं। अरबों रुपये की अवैध लेनदेन की जानकारी मिली है। मीडिया इसे दबा रहा है।,0,hi
सुप्रीम कोर्ट ने बाढ़ राहत के लिए आदेश दिया,आईआईटी दिल्ली के शोधकर्ताओं ने एक महत्वपूर्ण वैज्ञानिक खोज की है। यह नई तकनीक पर्यावरण के लिए फायदेमंद है। शोध दल को अंतर्राष्ट्रीय मान्यता मिली है।,1,hi
ગુજરાતમાં વિકાસ પ્રકલ્પ શરૂ થયો,ગુજરાત સરકારે નવી શક્તિ પરિકલ્પના જાહેર કરી છે. આ યોજનામાં હજારો લોકોને નોકરી મળશે.,1,gu
Government announces new solar power initiative across 15 states,"In a significant development, the central government today announced a comprehensive solar energy initiative targeting 15 states. The scheme aims to generate 100 GW of solar power by 2025, creating over 50,000 jobs in the renewable energy sector. According to official sources, the initiative will receive ₹50,000 crore in funding over the next five years. State governments have welcomed the announcement and pledged cooperation in implementation.",1,en
Delhi becomes one of cleanest cities in South Asia with new policies,Clinical trials demonstrate 85% success rate in treatment.,1,en
New cancer treatment shows promise,Market indicators show strong performance this quarter.,1,en
New species discovered in Amazon rainforest,Event attracts millions of viewers worldwide.,1,en
Indian universities rank in top 100 globally for research,Indian Railways announced plans to acquire 100 new high-speed trains over the next five years. These trains will operate on dedicated tracks connecting major metropolitan areas. The project is estimated to cost ₹1 lakh crore and will reduce travel time between cities by 40%. Railway Minister praised the initiative during a press conference.,1,en
Olympic games break viewership records,Sensational scandal without credible evidence.,1,en
Stock market reaches all-time high,The Supreme Court of India has ordered the establishment of a ₹500 crore relief fund for victims of recent floods in Kerala. The court directed state authorities to expedite the distribution of compensation to affected families. Chief Minister expressed gratitude for the court's intervention and committed to transparent fund management.,1,en
India signs trade agreement with European Union,"Researchers at IIT Delhi have successfully developed a completely biodegradable plastic material that decomposes within 6 months. The innovation uses agricultural waste and plant-based polymers. The research team, led by Dr. Raj Kumar, has filed for patent protection. This breakthrough could significantly reduce plastic pollution in India and globally.",1,en
Supreme Court orders relief fund for flood victims in Kerala,Magic solution that solves everything instantly.,1,en
Tech startups in India secure $20 billion in funding this year,Biodiversity research leads to important discovery.,1,en
Sports team wins championship,Stunning exposé reveals high-level corruption involving multiple government ministers and corporate leaders. Anonymous whistleblowers provide evidence of illegal transactions totaling billions of rupees. The investigation is allegedly being covered up by mainstream media on government orders. Public demands immediate police action.,1,en
IIT Delhi researchers develop biodegradable plastic alternative,Secret meeting exposed: Foreign intelligence agencies met with opposition leaders to plan destabilization of India's economy. Classified documents allegedly detail plans to create artificial inflation and trigger market collapse. Analysts warn of potential economic crisis engineered by hostile nations. Government should take immediate protective measures.,1,en
Economic summit achieves breakthrough agreements,Company announces advanced features and specifications.,1,en
RBI cuts repo rate by 50 basis points to support economic growth,"The Reserve Bank of India announced a 50 basis point reduction in the repo rate today, bringing it down to 5.5%. The decision aims to boost economic growth amid slowing consumption. The RBI also projected GDP growth at 6.5% for the current fiscal year. Banking sector experts have welcomed the monetary policy decision.",1,en
New metro rail projects approved in 8 major Indian cities,Company announces advanced features and specifications.,1,en
ISRO successfully completes Chandrayaan-3 lunar mission,Market indicators show strong performance this quarter.,1,en
University researchers win Nobel prize,Clinical trials demonstrate 85% success rate in treatment.,1,en
Film wins Golden Globe award,"Shocking discovery: Government health officials have been secretly embedding microchips in vaccines to track citizens' movements. According to leaked confidential documents obtained by our sources, this surveillance program has been ongoing since 2015. Thousands of people report experiencing strange symptoms after vaccination. The government refuses to comment on these allegations.",1,en
Government launches nationwide digital literacy program,"In a significant development, the central government today announced a comprehensive solar energy initiative targeting 15 states. The scheme aims to generate 100 GW of solar power by 2025, creating over 50,000 jobs in the renewable energy sector. According to official sources, the initiative will receive ₹50,000 crore in funding over the next five years. State governments have welcomed the announcement and pledged cooperation in implementation.",1,en
National Health Insurance scheme reaches 50 million beneficiaries,Sensational scandal without credible evidence.,1,en
Scientists discover new renewable energy source,EXCLUSIVE: NASA scientists have discovered evidence of an ancient alien civilization that built underground cities beneath the Himalayas. The structures contain advanced technology unknown to modern science. The government is allegedly hiding this information to prevent mass panic. Conspiracy theorists believe this proves the existence of extraterrestrial life.,1,en
Indian Railways launches 100 new high-speed trains by 2030,Unbelievable offer that sounds too good to be true.,1,en
National infrastructure development accelerates in rural areas,Shocking truth revealed about public figures.,1,en
India's software exports reach record $191 billion in FY2024,"Shocking discovery: Government health officials have been secretly embedding microchips in vaccines to track citizens' movements. According to leaked confidential documents obtained by our sources, this surveillance program has been ongoing since 2015. Thousands of people report experiencing strange symptoms after vaccination. The government refuses to comment on these allegations.",1,en
Tech company launches new smartphone,Biodiversity research leads to important discovery.,1,en
